#,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19
C0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
